"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"14485","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",58070,"GRANEL","BOLIVIA"
"14486","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56160,"GRANEL","BOLIVIA"
"14487","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",103000,"GRANEL","BOLIVIA"
"14488","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","FREJOL, grano",28000,"SACO(S)","BOLIVIA"
"14489","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","AZUCAR CRUDA, sólido",174000,"SACO(S)","BOLIVIA"
"14490","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGODON, fibra sin cardar ni peinar (>34.92 mm)",19770,"FARDOS","EEUU"
"14491","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGODON, fibra sin cardar ni peinar (>22.22 mm = o <28.57 mm)",78930,"FARDOS","EEUU"
"14492","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con algún proceso de la CRF2",19289,"PAQUETES","CHILE"
"14493","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TURBA",23490,"BIG BAG","LETONIA"
"14494","2021",7,"IÑAPARI, MADRE DE DIOS","ARROZ, grano pilado",32000,"SACO(S)","BRASIL"
"14495","2021",7,"IÑAPARI, MADRE DE DIOS","ARROZ, grano pilado",32010,"FARDOS","BRASIL"
"14496","2021",7,"IÑAPARI, MADRE DE DIOS","ARROZ, grano pilado",32010,"PAQUETES","BRASIL"
"14497","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",87000,"SACO(S)","BOLIVIA"
"14498","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",56000,"GRANEL","BOLIVIA"
"14499","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",50000,"GRANEL","BOLIVIA"
"14500","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, grano",1.5e+07,"GRANEL","CANADA"
"14501","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, grano",20500000,"GRANEL","CANADA"
"14502","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, grano",7070000,"GRANEL","CANADA"
"14503","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, gluten",22000,"BOLSAS","CHINA"
"14504","2021",7,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","ARROZ, grano pilado",0.9,"BOLSAS","PARAGUAY"
"14505","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",20580,"CAJA(S)","CHILE"
"14506","2021",7,"PUESTO DE CONTROL- CEBAF","CAÑA DE GUAYAQUIL, seca al natural",30000,"UNIDADES","ECUADOR"
"14507","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","AJONJOLI, grano",29000,"SACO(S)","BOLIVIA"
"14508","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","Marañon (NUEZ DE CAJU), semilla alimenticia sin cascara, seca industriamente",15876,"CAJA(S)","BRASIL"
"14509","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",20580,"CAJA(S)","CHILE"
"14510","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",19756.8,"CAJA(S)","CHILE"
"14511","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",20580,"CAJA(S)","CHILE"
"14512","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CAUCHO, técnicamente especificado (TSNR)",42000,"FARDOS","VIETNAM"
"14513","2021",7,"PUERTO DE PAITA , PIURA","PINO, madera aserrada con tratamiento de secado al horno impregnación de sales",169794,"PALETAS","VENEZUELA"
"14514","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MAIZ AMARILLO DURO, grano",138000,"GRANEL","BOLIVIA"
"14515","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MAIZ AMARILLO DURO, grano",83000,"GRANEL","BOLIVIA"
"14516","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MAIZ AMARILLO DURO, grano",145000,"SACO(S)","BOLIVIA"
"14517","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",108090,"GRANEL","BOLIVIA"
"14518","2021",7,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","LECHUGA, semilla",8,"SOBRES ALUMINIZADOS","ARGENTINA"
"14519","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",146500,"SACO(S)","BOLIVIA"
"14520","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MAIZ AMARILLO DURO, grano",174000,"SACO(S)","BOLIVIA"
"14521","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MANI, grano sin cáscara",58000,"SACO(S)","BOLIVIA"
"14522","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGODON, fibra sin cardar ni peinar (>28.57 mm = o <34.92 mm)",117350,"FARDOS","EEUU"
"14523","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CIRUELA, seca industrialmente",20000,"CAJA(S)","CHILE"
"14524","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CIRUELA, seca industrialmente",20000,"CAJA(S)","CHILE"
"14525","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56000,"GRANEL","BOLIVIA"
"14526","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AVENA, grano mondado, perlado, troceado o quebrantado",129000,"SACO(S)","CHILE"
"14527","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","NARANJA, cascara secada industrialmente",2000,"SACO(S)","ALEMANIA"
"14528","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CLAVO DE OLOR, polvo
",600,"SACO(S)","ALEMANIA"
"14529","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","JENGIBRE(=KION), seco industrial",600,"SACO(S)","ALEMANIA"
"14530","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CANELA, triturada o pulverizada (molida)",250,"SACO(S)","CHILE"
"14531","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANILLA, triturada",250,"SACO(S)","CHILE"
"14532","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MENTA, polvo",260,"SACO(S)","CHILE"
"14533","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ROSA MOSQUETA, pulverizado",375,"SACO(S)","CHILE"
"14534","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ROSA MOSQUETA, pulverizado",500,"SACO(S)","ALEMANIA"
"14535","2021",7,"PUERTO DE SALAVERRY, LA LIBERTAD","TRIGO, grano",9785000,"GRANEL","CANADA"
"14536","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",105970,"BOLSAS","GUATEMALA"
"14537","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MAIZ AMARILLO DURO, grano",174000,"SACO(S)","BOLIVIA"
"14538","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALBARICOQUE (=DAMASCO), seco natural",20000,"CAJA(S)","TURQUIA"
"14539","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",54000,"GRANEL","BOLIVIA"
"14540","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",55450,"GRANEL","BOLIVIA"
"14541","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",55000,"GRANEL","BOLIVIA"
"14542","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",114500,"GRANEL","BOLIVIA"
"14543","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",55500,"GRANEL","BOLIVIA"
"14544","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","BAMBU, madera sin emsamblar (tablillas y frisos para parqués barnizadas o laquedas) distintas de las coniferas",23655,"CAJA(S)","CHINA"
"14545","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",116000,"SACO(S)","BOLIVIA"
"14546","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",177000,"SACO(S)","BOLIVIA"
"14547","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",201000,"SACO(S)","BOLIVIA"
"14548","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TURBA",74325,"FARDOS","LETONIA"
