"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"12148","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, almidon",49500,"CAJA(S)","EEUU"
"12149","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",82000,"SACO(S)","BOLIVIA"
"12150","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MAIZ AMARILLO DURO, grano",145000,"SACO(S)","BOLIVIA"
"12151","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56736,"SACO(S)","BOLIVIA"
"12152","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",60000,"GRANEL","BOLIVIA"
"12153","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",107000,"GRANEL","BOLIVIA"
"12154","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",141797,"SACO(S)","BOLIVIA"
"12155","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",85838,"SACO(S)","BOLIVIA"
"12156","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",57484,"SACO(S)","BOLIVIA"
"12157","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",30000,"GRANEL","BOLIVIA"
"12158","2021",6,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","CAFE, semilla",400,"CAJA(S)","NICARAGUA"
"12159","2021",6,"PUESTO DE CONTROL- CEBAF","CAÑA DE GUAYAQUIL, seca al natural",32000,"UNIDADES","ECUADOR"
"12160","2021",6,"IÑAPARI, MADRE DE DIOS","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",32000,"SACO(S)","BRASIL"
"12161","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con algún proceso de la CRF2",98481,"PAQUETES","CHILE"
"12162","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",56000,"GRANEL","BOLIVIA"
"12163","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MAIZ AMARILLO DURO, grano",58000,"SACO(S)","BOLIVIA"
"12164","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",19047,"SACO(S)","EEUU"
"12165","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",74163,"SACO(S)","CANADA"
"12166","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",116000,"SACO(S)","BOLIVIA"
"12167","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",55920,"GRANEL","BOLIVIA"
"12168","2021",6,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PIMIENTO, semilla",2.16,"SACHETS","HOLANDA"
"12169","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TURBA",150930,"BOLSAS","HOLANDA"
"12170","2021",6,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PIMIENTO, semilla",0.796,"SACHETS","HOLANDA"
"12171","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","COCO, fibra (para sustrato)",44000,"BOLSAS","SRI LANKA"
"12172","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",143000,"SACO(S)","BOLIVIA"
"12173","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TURBA",217495,"BIG BAG","LETONIA"
"12174","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, semilla",71098.86,"BOLSAS","MEXICO"
"12175","2021",6,"SANTA ROSA, TACNA","PERA, fruta fresca",23040,"CAJA(S)","CHILE"
"12176","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",173887,"SACO(S)","BOLIVIA"
"12177","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGODON, fibra sin cardar ni peinar (>22.22 mm = o <28.57 mm)",19600,"FARDOS","EEUU"
"12178","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ANIS O BADIANA, grano",25000,"SACO(S)","ESPAÑA"
