"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"9743","2021",5,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","MAIZ, semilla",65,"SOBRES","CHILE"
"9744","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LOS DEMAS TRACTORES, con motor de potencia superior a 18 kW pero inferior o igual a 37 kW (excepto las carretillas tractor de la partida 87.09), USADOS",23250,"UNIDADES","EEUU"
"9745","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LOS DEMAS TRACTORES, con motor de potencia superior a 18 kW pero inferior o igual a 37 kW (excepto las carretillas tractor de la partida 87.09), USADOS",18389.457,"UNIDADES","EEUU"
"9746","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",85479,"SACO(S)","BOLIVIA"
"9747","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",84162,"SACO(S)","BOLIVIA"
"9748","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",57355,"SACO(S)","BOLIVIA"
"9749","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",77370,"GRANEL","BOLIVIA"
"9750","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",55710,"GRANEL","BOLIVIA"
"9751","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",55630,"GRANEL","BOLIVIA"
"9752","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",52000,"GRANEL","BOLIVIA"
"9753","2021",5,"SANTA ROSA, TACNA","MANZANA, fruto fresco",9800,"CAJA(S)","CHILE"
"9754","2021",5,"SANTA ROSA, TACNA","KIWI, fruto fresco",13356,"CAJA(S)","CHILE"
"9755","2021",5,"SANTA ROSA, TACNA","MANZANA, fruto fresco",18620,"CAJA(S)","CHILE"
"9756","2021",5,"SANTA ROSA, TACNA","CIRUELA, fruto fresco",13200,"CAJA(S)","CHILE"
"9757","2021",5,"SANTA ROSA, TACNA","PERA, fruta fresca",5040,"CAJA(S)","CHILE"
"9758","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",5e+05,"GRANEL","URUGUAY"
"9759","2021",5,"SANTA ROSA, TACNA","PERA, fruta fresca",22752,"CAJA(S)","CHILE"
"9760","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, almidon",42000,"BOLSAS","ARGENTINA"
"9761","2021",5,"SANTA ROSA, TACNA","ARROZ, grano pilado",106000,"SACO(S)","BRASIL"
"9762","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR CRUDA, sólido",250000,"SACO(S)","COLOMBIA"
"9763","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",238500,"SACO(S)","COLOMBIA"
"9764","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CENTENO, harina",1000,"BOLSAS","CHILE"
"9765","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","SOYA, harina",200,"BOLSAS","CHILE"
"9766","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGARROBO, harina",550,"BOLSAS","CHILE"
"9767","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AJO, polvo",3000,"CAJA(S)","CHINA"
"9768","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, semilla",124954.73,"BOLSAS","MEXICO"
"9769","2021",5,"SANTA ROSA, TACNA","TRACTOR AGRICOLA USADO, con motor de potencia superior a 33 kW pero inferior o igual a 75 kW",3950,"LOTE(S)","CHILE"
"9770","2021",5,"SANTA ROSA, TACNA","TRACTOR AGRICOLA USADO, con motor de potencia superior a 33 kW pero inferior o igual a 75 kW",3950,"PIEZAS","CHILE"
"9771","2021",5,"SANTA ROSA, TACNA","TRACTOR AGRICOLA USADO, con motor de potencia superior a 33 kW pero inferior o igual a 75 kW",3950,"UNIDADES","CHILE"
"9772","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",143000,"SACO(S)","BOLIVIA"
"9773","2021",5,"SANTA ROSA, TACNA","MANZANA, fruto fresco",15680,"CAJA(S)","CHILE"
"9774","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, harina",26000,"PAQUETES","COLOMBIA"
"9775","2021",5,"SANTA ROSA, TACNA","PERA, fruta fresca",8064,"CAJA(S)","CHILE"
"9776","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, harina",52000,"PACAS","COLOMBIA"
"9777","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",250000,"SACO(S)","URUGUAY"
"9778","2021",5,"SANTA ROSA, TACNA","MANZANA, fruto fresco",12720,"CAJA(S)","CHILE"
"9779","2021",5,"SANTA ROSA, TACNA","KIWI, fruto fresco",4200,"CAJA(S)","CHILE"
"9780","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AVENA, grano mondado, perlado, troceado o quebrantado",120000,"SACO(S)","CHILE"
"9781","2021",5,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"9782","2021",5,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22344,"CAJA(S)","CHILE"
"9783","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","Las demás máquinas y aparatos de cosechar; máquinas y aparatos de trillar usadas
",2500,"UNIDADES","FRANCIA"
"9784","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","QUINUA, grano",7000,"SACO(S)","COSTA RICA"
"9785","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, almidon",63000,"BOLSAS","ARGENTINA"
"9786","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CONIFERAS, madera moldurada con algún proceso de la CRF2",24586,"PAQUETES","CHILE"
"9787","2021",5,"PUERTO DE PAITA , PIURA","ARVEJA, grano partido",49380,"SACO(S)","CANADA"
"9788","2021",5,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23402.4,"CAJA(S)","CHILE"
"9789","2021",5,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","MELON, semilla",1.625,"SACHETS","ESPAÑA"
"9790","2021",5,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","ZAPALLITO ITALIANO (CALABACIN), semilla",8.3,"SACHETS","ESPAÑA"
"9791","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",144500,"SACO(S)","BOLIVIA"
"9792","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AVENA, grano mondado, perlado, troceado o quebrantado",24000,"SACO(S)","CHILE"
"9793","2021",5,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22579.2,"CAJA(S)","CHILE"
"9794","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",82310,"GRANEL","BOLIVIA"
"9795","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",98884,"SACO(S)","CANADA"
"9796","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56500,"GRANEL","BOLIVIA"
"9797","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",143000,"SACO(S)","BOLIVIA"
"9798","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",143000,"SACO(S)","BOLIVIA"
"9799","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",116000,"SACO(S)","BOLIVIA"
"9800","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR CRUDA, sólido",375000,"SACO(S)","COLOMBIA"
"9801","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",250000,"SACO(S)","URUGUAY"
"9802","2021",5,"IÑAPARI, MADRE DE DIOS","ARROZ, grano pilado",15990,"PAQUETES","BRASIL"
"9803","2021",5,"IÑAPARI, MADRE DE DIOS","ARROZ, grano pilado",47970,"FARDOS","BRASIL"
"9804","2021",5,"IÑAPARI, MADRE DE DIOS","ARROZ, grano pilado",32010,"PAQUETES","BRASIL"
"9805","2021",5,"IÑAPARI, MADRE DE DIOS","ARROZ, grano pilado",64000,"SACO(S)","BRASIL"
"9806","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","FLOR DE JAMAICA, seca natural",36526,"SACO(S)","NIGERIA"
"9807","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",375000,"SACO(S)","URUGUAY"
"9808","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",94347,"SACO(S)","EEUU"
"9809","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",82500,"GRANEL","BOLIVIA"
"9810","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",56000,"SACO(S)","BOLIVIA"
"9811","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","SOYA, grano",20400,"GRANEL","CANADA"
"9812","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",83692,"SACO(S)","BOLIVIA"
"9813","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",112000,"GRANEL","BOLIVIA"
"9814","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",54980,"GRANEL","BOLIVIA"
"9815","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",50570,"GRANEL","BOLIVIA"
