"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"19350","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, harina",9950,"SACO(S)","CHILE"
"19351","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, gluten",20000,"SACO(S)","FRANCIA"
"19352","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CIRUELA, seca industrialmente",21000,"CAJA(S)","CHILE"
"19353","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AVENA, grano aplastado o en copos (hojuelas)",129720,"SACO(S)","CHILE"
"19354","2021",9,"SANTA ROSA, TACNA","PERA, fruta fresca",22662,"CAJA(S)","CHILE"
"19355","2021",9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"19356","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",57000,"GRANEL","BOLIVIA"
"19357","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",84500,"GRANEL","BOLIVIA"
"19358","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",51000,"GRANEL","BOLIVIA"
"19359","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",50000,"GRANEL","BOLIVIA"
"19360","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",87000,"SACO(S)","BOLIVIA"
"19361","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LILIUM (=AZUCENA), bulbo",15750,"CAJAS DE PLASTICO","HOLANDA"
"19362","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","Cosechadoras-trilladoras usadas
",367.053,"UNIDADES","ALEMANIA"
"19363","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRACTOR AGRICOLA USADO, con motor de potencia superior a 33 kW pero inferior o igual a 75 kW",4805.052,"UNIDADES","ALEMANIA"
"19364","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRACTOR AGRICOLA USADO, con motor de potencia superior a 33 kW pero inferior o igual a 75 kW",7140.842,"PIEZAS","ALEMANIA"
"19365","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CIRUELA, seca industrialmente",21000,"CAJA(S)","CHILE"
"19366","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ANIS O BADIANA, grano",26000,"SACO(S)","ESPAÑA"
"19367","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",145000,"SACO(S)","BOLIVIA"
"19368","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",116000,"SACO(S)","BOLIVIA"
"19369","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",174000,"SACO(S)","BOLIVIA"
"19370","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCARES, los demas",74420,"SACO(S)","COLOMBIA"
"19371","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, harina",20432,"PACAS","COLOMBIA"
"19372","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCARES, los demas",1e+05,"SACO(S)","COLOMBIA"
"19373","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",158745,"SACO(S)","COLOMBIA"
"19374","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",54100,"GRANEL","BOLIVIA"
"19375","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56000,"GRANEL","BOLIVIA"
"19376","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",86000,"GRANEL","BOLIVIA"
"19377","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",140000,"GRANEL","BOLIVIA"
"19378","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",85500,"GRANEL","BOLIVIA"
"19379","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",58464,"SACO(S)","BOLIVIA"
"19380","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",115000,"GRANEL","BOLIVIA"
"19381","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",75000,"GRANEL","BOLIVIA"
"19382","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, almidon",42000,"BOLSAS","ARGENTINA"
"19383","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AVENA, grano aplastado o en copos (hojuelas)",52000,"SACO(S)","CHILE"
"19384","2021",9,"PUERTO DE SALAVERRY, LA LIBERTAD","MAIZ AMARILLO DURO, grano",16245330,"GRANEL","ARGENTINA"
"19385","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AJONJOLI, grano",26000,"SACO(S)","INDIA"
"19386","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR CRUDA, sólido",148700,"SACO(S)","COLOMBIA"
"19387","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MANI, grano sin cáscara",116000,"SACO(S)","BOLIVIA"
"19388","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CULTIVO DE MICROORGANISMOS PARA USO AGRICOLA",88.269,"FRASCO(S)","ITALIA"
"19389","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56000,"GRANEL","BOLIVIA"
"19390","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",83500,"GRANEL","BOLIVIA"
"19391","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",85000,"GRANEL","BOLIVIA"
"19392","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56140,"GRANEL","BOLIVIA"
"19393","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",85500,"GRANEL","BOLIVIA"
"19394","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","GIRASOL, torta",58000,"GRANEL","BOLIVIA"
"19395","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",19756.8,"CAJA(S)","CHILE"
"19396","2021",9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",1.5,"BOLSAS","BOLIVIA"
"19397","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MAIZ AMARILLO DURO, grano",144000,"SACO(S)","BOLIVIA"
"19398","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",28000,"GRANEL","BOLIVIA"
"19399","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","GIRASOL, torta",82490,"GRANEL","BOLIVIA"
"19400","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",111930,"GRANEL","BOLIVIA"
"19401","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",134500,"GRANEL","BOLIVIA"
"19402","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",140000,"GRANEL","BOLIVIA"
"19403","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56000,"GRANEL","BOLIVIA"
"19404","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, almidon",21000,"BOLSAS","ARGENTINA"
"19405","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",145000,"SACO(S)","BOLIVIA"
"19406","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MANI, grano sin cáscara",27500,"BIG BAG","BOLIVIA"
"19407","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRACTOR DE ORUGAS, USADO",9213.1,"UNIDADES","EEUU"
"19408","2021",9,"PUERTO DE SALAVERRY, LA LIBERTAD","SOYA, pellets",510000,"GRANEL","ARGENTINA"
"19409","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",76000,"GRANEL","BOLIVIA"
"19410","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",85550,"GRANEL","BOLIVIA"
"19411","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",49340,"SACO(S)","BOLIVIA"
"19412","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",49000,"SACO(S)","BOLIVIA"
"19413","2021",9,"PUESTO DE CONTROL- CEBAF","ROSA, flores frescas cortadas",2432,"CAJA(S)","ECUADOR"
"19414","2021",9,"PUESTO DE CONTROL- CEBAF","CLAVEL, flores frescas cortadas",152,"CAJA(S)","ECUADOR"
"19415","2021",9,"PUESTO DE CONTROL- CEBAF","LILIUM (=AZUCENA), flores frescas cortadas",114,"CAJA(S)","ECUADOR"
"19416","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",19756.8,"CAJA(S)","CHILE"
"19417","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",55888,"SACO(S)","BOLIVIA"
